,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,imdb_id
0,1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%,2019,tt4154796
1,2,Avatar,"$2,790,439,000","$760,507,625",27.2%,"$2,029,931,375",72.8%,2009,tt0499549
2,3,Titanic,"$2,194,439,542","$659,363,944",30%,"$1,535,075,598",70%,1997,tt0120338
3,4,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.3%,"$1,131,561,399",54.7%,2015,tt2488496
4,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,tt4154756
5,6,Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%,2015,tt0369610
6,7,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%,2019,tt6105098
7,8,The Avengers,"$1,518,812,988","$623,357,910",41%,"$895,455,078",59%,2012,tt0848228
8,9,Furious 7,"$1,515,047,671","$353,007,020",23.3%,"$1,162,040,651",76.7%,2015,tt2820852
9,10,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,tt4520988
10,11,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.7%,"$943,800,000",67.3%,2015,tt2395427
11,12,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%,2018,tt1825683
12,13,Harry Potter and the Deathly Hallows: Part 2,"$1,341,932,398","$381,409,310",28.4%,"$960,523,088",71.6%,2011,tt1201607
13,14,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.5%,"$712,358,507",53.5%,2017,tt2527336
14,15,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%,2018,tt4881806
15,16,Frozen,"$1,280,802,282","$400,738,009",31.3%,"$880,064,273",68.7%,2013,tt2294629
16,17,Beauty and the Beast,"$1,263,521,126","$504,014,165",39.9%,"$759,506,961",60.1%,2017,tt2771200
17,18,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%,2018,tt3606756
18,19,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017,tt4630562
19,20,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013,tt1300854
20,21,Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%,2015,tt2293640
21,22,Captain America: Civil War,"$1,153,296,293","$408,084,349",35.4%,"$745,211,944",64.6%,2016,tt3498820
22,23,Aquaman,"$1,148,461,807","$335,061,807",29.2%,"$813,400,000",70.8%,2018,tt1477834
23,24,The Lord of the Rings: The Return of the King,"$1,142,219,401","$377,845,905",33.1%,"$764,373,496",66.9%,2003,tt0167260
24,25,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019,tt6320628
25,26,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%,2019,tt4154664
26,27,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011,tt1399103
27,28,Skyfall,"$1,108,561,013","$304,360,277",27.5%,"$804,200,736",72.5%,2012,tt1074638
28,29,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,2014,tt2109248
29,30,The Dark Knight Rises,"$1,081,041,287","$448,139,099",41.4%,"$632,902,188",58.6%,2012,tt1345836
30,31,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%,2019,tt7286456
31,32,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%,2019,tt2527338
32,33,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019,tt1979376
33,34,Toy Story 3,"$1,066,969,703","$415,004,880",38.9%,"$651,964,823",61.1%,2010,tt0435761
34,35,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",39.7%,"$642,863,913",60.3%,2006,tt0383574
35,36,Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",50.4%,"$523,879,949",49.6%,2016,tt3748528
36,37,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019,tt6139732
37,38,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23%,"$804,642,000",77%,2011,tt1298650
38,39,Despicable Me 3,"$1,034,799,409","$264,624,300",25.6%,"$770,175,109",74.4%,2017,tt3469046
39,40,Jurassic Park,"$1,032,020,521","$402,828,120",39%,"$629,192,401",61%,1993,tt0107290
40,41,Finding Dory,"$1,028,570,889","$486,295,561",47.3%,"$542,275,328",52.7%,2016,tt2277860
41,42,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707","$474,544,677",46.2%,"$552,538,030",53.8%,1999,tt0120915
42,43,Alice in Wonderland,"$1,025,467,110","$334,191,110",32.6%,"$691,276,000",67.4%,2010,tt1014759
43,44,Zootopia,"$1,023,784,195","$341,268,248",33.3%,"$682,515,947",66.7%,2016,tt2948356
44,45,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.8%,"$714,000,000",70.2%,2012,tt0903624
45,46,The Dark Knight,"$1,004,934,033","$535,234,033",53.3%,"$469,700,000",46.7%,2008,tt0468569
46,47,Harry Potter and the Sorcerer's Stone,"$978,087,613","$318,087,620",32.5%,"$659,999,993",67.5%,2001,tt0241527
